Date,Price,Open,High,Low,Change
2015-04-03,1.0978,1.0883,1.1028,1.0864,0.0086
2015-04-06,1.0924,1.0991,1.1037,1.0911,-0.0049
2015-04-07,1.0816,1.0922,1.0957,1.0805,-0.0099
2015-04-08,1.0781,1.0816,1.0888,1.0764,-0.0032
2015-04-09,1.0659,1.0781,1.0789,1.0638,-0.0113
2015-04-10,1.0604,1.066,1.0685,1.0569,-0.0052
2015-04-13,1.0568,1.0602,1.0619,1.052,-0.0034
2015-04-14,1.0654,1.0566,1.0709,1.053,0.0081
2015-04-15,1.0686,1.0655,1.0703,1.0572,0.003
2015-04-16,1.0762,1.0684,1.0819,1.0625,0.0071
2015-04-17,1.0807,1.0762,1.085,1.0737,0.0042
2015-04-20,1.0737,1.0821,1.0825,1.0713,-0.0065
2015-04-21,1.0736,1.074,1.0784,1.0661,-0.0001
2015-04-22,1.0726,1.0736,1.0802,1.0709,-0.0009
2015-04-23,1.0827,1.0726,1.0848,1.0667,0.0094
2015-04-24,1.0874,1.0825,1.0901,1.0785,0.0043
2015-04-27,1.0888,1.0873,1.0928,1.0821,0.0013
2015-04-28,1.0981,1.0894,1.0991,1.0859,0.0085
2015-04-29,1.1132,1.0983,1.1189,1.096,0.0138
2015-04-30,1.1225,1.113,1.1269,1.1073,0.0084
2015-05-01,1.1202,1.1223,1.129,1.1176,-0.002
2015-05-04,1.1146,1.1202,1.1226,1.1123,-0.005
2015-05-05,1.1186,1.1147,1.1223,1.1067,0.0036
2015-05-06,1.1353,1.1187,1.1372,1.1176,0.0149
2015-05-07,1.1267,1.1347,1.1393,1.1237,-0.0076
2015-05-08,1.1204,1.1267,1.129,1.1178,-0.0056
2015-05-11,1.1155,1.1197,1.1207,1.1131,-0.0044
2015-05-12,1.1214,1.1155,1.1277,1.1134,0.0053
2015-05-13,1.1357,1.1214,1.1385,1.1204,0.0128
2015-05-14,1.141,1.1359,1.1447,1.1341,0.0047
2015-05-15,1.1452,1.141,1.1467,1.1324,0.0037
2015-05-18,1.1315,1.1441,1.145,1.1298,-0.012
2015-05-19,1.1149,1.1317,1.1328,1.1119,-0.0147
2015-05-20,1.1093,1.115,1.1156,1.1063,-0.005
2015-05-21,1.1113,1.1092,1.1181,1.108,0.0018
2015-05-22,1.1018,1.1115,1.1211,1.1004,-0.0085
2015-05-25,1.0978,1.1006,1.1012,1.0961,-0.0036
2015-05-26,1.0873,1.0978,1.0985,1.0863,-0.0096
2015-05-27,1.0905,1.0873,1.0931,1.082,0.0029
2015-05-28,1.0949,1.0905,1.096,1.0869,0.004
2015-05-29,1.0988,1.0948,1.1006,1.0926,0.0036
2015-06-01,1.0928,1.0989,1.0991,1.0888,-0.0055
2015-06-02,1.1155,1.0928,1.1193,1.0915,0.0208
