Date,Price,Open,High,Low,Change
2017-02-15,1.2459,1.2471,1.2482,1.2381,-0.0009
2017-02-16,1.249,1.2462,1.2527,1.2454,0.0025
2017-02-17,1.2414,1.249,1.2513,1.2388,-0.0061
2017-02-20,1.2461,1.241,1.2483,1.2401,0.0038
2017-02-21,1.2473,1.2458,1.2482,1.2398,0.001
2017-02-22,1.2451,1.2471,1.2509,1.2423,-0.0018
2017-02-23,1.2555,1.2443,1.2562,1.2428,0.0084
2017-02-24,1.2468,1.2554,1.2572,1.2447,-0.0069
2017-02-27,1.2444,1.2467,1.2486,1.2384,-0.0019
2017-02-28,1.2381,1.2443,1.247,1.2369,-0.0051
2017-03-01,1.2295,1.2382,1.2406,1.2279,-0.0069
2017-03-02,1.2267,1.2289,1.2308,1.2242,-0.0023
2017-03-03,1.2295,1.227,1.2304,1.2217,0.0023
2017-03-06,1.2236,1.2294,1.2302,1.2223,-0.0048
2017-03-07,1.22,1.2235,1.2253,1.2168,-0.0029
2017-03-08,1.217,1.2199,1.2216,1.214,-0.0025
2017-03-09,1.2167,1.2166,1.2195,1.2134,-0.0002
2017-03-10,1.2171,1.2168,1.219,1.214,0.0003
2017-03-13,1.2219,1.2162,1.2252,1.2149,0.0039
2017-03-14,1.2154,1.2219,1.2228,1.2108,-0.0053
2017-03-15,1.2292,1.2153,1.2309,1.2139,0.0114
2017-03-16,1.236,1.2289,1.2378,1.2241,0.0055
2017-03-17,1.2394,1.2359,1.2406,1.2323,0.0028
2017-03-20,1.2358,1.24,1.2437,1.2335,-0.0029
2017-03-21,1.2479,1.2358,1.2496,1.234,0.0098
2017-03-22,1.2484,1.2477,1.2507,1.2423,0.0004
2017-03-23,1.2521,1.2484,1.2532,1.2461,0.003
2017-03-24,1.247,1.2521,1.2524,1.2468,-0.0041
2017-03-27,1.2556,1.2487,1.2618,1.2476,0.0069
2017-03-28,1.245,1.2559,1.2598,1.2439,-0.0084
2017-03-29,1.2434,1.2447,1.2476,1.2377,-0.0013
2017-03-30,1.2469,1.2433,1.2529,1.2405,0.0028
2017-03-31,1.255,1.2472,1.2562,1.2436,0.0065
2017-04-03,1.2487,1.254,1.2556,1.2464,-0.005
2017-04-04,1.2441,1.2488,1.2496,1.2418,-0.0037
2017-04-05,1.2483,1.244,1.2501,1.2423,0.0034
2017-04-06,1.247,1.2486,1.2508,1.2451,-0.001
2017-04-07,1.2373,1.2468,1.2478,1.2363,-0.0078
2017-04-10,1.2414,1.2384,1.2432,1.2367,0.0033
2017-04-11,1.2491,1.2412,1.2497,1.2404,0.0062
2017-04-12,1.254,1.2491,1.255,1.2479,0.0039
2017-04-13,1.2506,1.2537,1.2575,1.2497,-0.0027
2017-04-14,1.2524,1.2503,1.2537,1.25,0.0014
2017-04-17,1.2565,1.2531,1.2599,1.2526,0.0033
2017-04-18,1.2841,1.2569,1.2909,1.2518,0.022
2017-04-19,1.2779,1.2839,1.2862,1.2768,-0.0048
2017-04-20,1.2813,1.2782,1.2851,1.2775,0.0027
2017-04-21,1.2813,1.2813,1.2835,1.2759,0
2017-04-24,1.2794,1.2842,1.2871,1.277,-0.0015
2017-04-25,1.2841,1.2795,1.2846,1.2772,0.0037
2017-04-26,1.2847,1.284,1.2864,1.2804,0.0005
2017-04-27,1.2904,1.2846,1.2916,1.2836,0.0044
2017-04-28,1.2951,1.2908,1.297,1.2889,0.0036
2017-05-01,1.2886,1.2951,1.2955,1.2879,-0.005
2017-05-02,1.2938,1.2888,1.2943,1.2865,0.004
2017-05-03,1.2867,1.294,1.2953,1.2865,-0.0055
2017-05-04,1.2921,1.2864,1.2931,1.283,0.0042
2017-05-05,1.2981,1.292,1.2985,1.29,0.0046
2017-05-08,1.294,1.2981,1.2992,1.2929,-0.0032
2017-05-09,1.2935,1.2944,1.2961,1.2902,-0.0004
2017-05-10,1.2938,1.2933,1.2989,1.2926,0.0002
2017-05-11,1.2886,1.2942,1.2953,1.2852,-0.004
2017-05-12,1.2891,1.2886,1.29,1.2843,0.0004
2017-05-15,1.2893,1.2888,1.294,1.2873,0.0002
2017-05-16,1.2917,1.2896,1.2958,1.2866,0.0019
2017-05-17,1.2973,1.2918,1.2994,1.2907,0.0043
2017-05-18,1.2939,1.2969,1.3051,1.2893,-0.0026
2017-05-19,1.3035,1.2936,1.304,1.2927,0.0074
2017-05-22,1.3,1.3007,1.3044,1.2965,-0.0027
2017-05-23,1.2962,1.3,1.3036,1.2954,-0.0029
2017-05-24,1.2974,1.2961,1.3,1.2925,0.0009
2017-05-25,1.294,1.2969,1.3013,1.2929,-0.0026
2017-05-26,1.2804,1.2942,1.2949,1.2773,-0.0105
2017-05-29,1.2841,1.2807,1.2853,1.2791,0.0029
2017-05-30,1.2858,1.2837,1.289,1.2792,0.0013
2017-05-31,1.289,1.2859,1.2921,1.2769,0.0025
2017-06-01,1.2881,1.2889,1.2916,1.283,-0.0007
2017-06-02,1.2887,1.2881,1.2908,1.2849,0.0005
2017-06-05,1.2903,1.285,1.2942,1.2847,0.0012
2017-06-06,1.2911,1.2905,1.2953,1.2874,0.0006
2017-06-07,1.2961,1.2912,1.2969,1.2887,0.0039
2017-06-08,1.2953,1.2961,1.2979,1.2907,-0.0006
2017-06-09,1.2745,1.2958,1.2964,1.2637,-0.0161
2017-06-12,1.2656,1.2731,1.2771,1.2637,-0.007
2017-06-13,1.2753,1.266,1.2759,1.2642,0.0077
2017-06-14,1.2752,1.2755,1.2818,1.2722,-0.0001
2017-06-15,1.2755,1.275,1.2796,1.2689,0.0002
2017-06-16,1.2776,1.2754,1.2806,1.2748,0.0016
2017-06-19,1.2736,1.2787,1.2817,1.2724,-0.0031
2017-06-20,1.2631,1.2732,1.2758,1.2603,-0.0082
2017-06-21,1.2671,1.2631,1.2712,1.2591,0.0032
2017-06-22,1.2682,1.267,1.2692,1.2652,0.0009
2017-06-23,1.2718,1.2681,1.2745,1.2673,0.0028
2017-06-26,1.2721,1.2729,1.276,1.2704,0.0002
2017-06-27,1.2816,1.2723,1.286,1.2716,0.0075
2017-06-28,1.2926,1.2817,1.2974,1.2792,0.0086
2017-06-29,1.3006,1.2923,1.3013,1.2919,0.0062
2017-06-30,1.3027,1.3005,1.3032,1.2948,0.0016
2017-07-03,1.2937,1.3011,1.3024,1.293,-0.0069
2017-07-04,1.292,1.294,1.2962,1.2913,-0.0013
2017-07-05,1.2935,1.2917,1.295,1.2892,0.0012
2017-07-06,1.2971,1.2936,1.2984,1.2919,0.0028
2017-07-07,1.2892,1.2969,1.2977,1.2867,-0.0061
2017-07-10,1.2879,1.2886,1.2912,1.2857,-0.001
2017-07-11,1.2849,1.2885,1.2932,1.2833,-0.0023
2017-07-12,1.2885,1.2848,1.2908,1.2811,0.0028
2017-07-13,1.2939,1.2887,1.2958,1.2879,0.0042
2017-07-14,1.3096,1.2935,1.3115,1.2933,0.0121
2017-07-17,1.3055,1.31,1.3113,1.3045,-0.0031
2017-07-18,1.304,1.3057,1.3127,1.3004,-0.0011
2017-07-19,1.3018,1.3037,1.3053,1.3009,-0.0017
2017-07-20,1.2974,1.3024,1.3038,1.2934,-0.0034
2017-07-21,1.2995,1.2975,1.3023,1.2954,0.0016
2017-07-24,1.3029,1.2986,1.3058,1.2986,0.0026
2017-07-25,1.3026,1.303,1.3086,1.3007,-0.0002
2017-07-26,1.3121,1.3021,1.3125,1.3001,0.0073
2017-07-27,1.3067,1.3119,1.3157,1.3052,-0.0041
2017-07-28,1.3135,1.3067,1.3155,1.306,0.0052
2017-07-31,1.3214,1.3131,1.3225,1.3096,0.006
2017-08-01,1.3203,1.3216,1.3249,1.3193,-0.0008
2017-08-02,1.3223,1.3203,1.3252,1.3189,0.0015
2017-08-03,1.3139,1.3221,1.3266,1.3112,-0.0064
2017-08-04,1.3036,1.3135,1.3166,1.3022,-0.0078
2017-08-07,1.3035,1.3028,1.3063,1.3014,-0.0001
2017-08-08,1.2991,1.3035,1.3055,1.2952,-0.0034
2017-08-09,1.3005,1.2989,1.3029,1.2966,0.0011
2017-08-10,1.2975,1.3,1.3017,1.2951,-0.0023
2017-08-11,1.3012,1.2976,1.3031,1.2938,0.0029
2017-08-14,1.2965,1.2994,1.3024,1.2957,-0.0036
2017-08-15,1.287,1.2964,1.2971,1.2845,-0.0073
2017-08-16,1.289,1.287,1.2905,1.2842,0.0016
2017-08-17,1.2869,1.2894,1.2914,1.2855,-0.0016
2017-08-18,1.2876,1.2869,1.292,1.2834,0.0005
2017-08-21,1.2901,1.287,1.2918,1.2849,0.0019
2017-08-22,1.2824,1.2897,1.291,1.2809,-0.006
2017-08-23,1.28,1.2824,1.2835,1.2779,-0.0019
2017-08-24,1.28,1.2796,1.2837,1.2771,0
2017-08-25,1.2887,1.2799,1.2891,1.2793,0.0068
2017-08-28,1.2933,1.2902,1.2948,1.2873,0.0036
2017-08-29,1.292,1.2931,1.2979,1.2914,-0.001
2017-08-30,1.2926,1.2918,1.2939,1.2877,0.0005
2017-08-31,1.2931,1.2928,1.2935,1.2851,0.0004
2017-09-01,1.2951,1.2931,1.2996,1.2904,0.0015
2017-09-04,1.2932,1.2958,1.2967,1.2911,-0.0015
2017-09-05,1.3033,1.2927,1.3044,1.2909,0.0078
2017-09-06,1.3043,1.3032,1.3084,1.3018,0.0008
2017-09-07,1.3101,1.3043,1.3117,1.3032,0.0044
2017-09-08,1.3198,1.31,1.3225,1.3093,0.0074
2017-09-11,1.3163,1.3203,1.3223,1.3159,-0.0027
2017-09-12,1.3284,1.3163,1.33,1.316,0.0092
2017-09-13,1.3211,1.3284,1.333,1.3185,-0.0055
2017-09-14,1.3397,1.3211,1.3407,1.3162,0.0141
2017-09-15,1.3593,1.3398,1.3617,1.3381,0.0146
2017-09-18,1.3494,1.3576,1.362,1.3465,-0.0073
2017-09-19,1.3509,1.3495,1.3553,1.3469,0.0011
2017-09-20,1.3494,1.351,1.3658,1.3452,-0.0011
2017-09-21,1.3579,1.3493,1.3587,1.347,0.0063
2017-09-22,1.3493,1.3581,1.3597,1.345,-0.0063
2017-09-25,1.3467,1.3493,1.3572,1.3431,-0.0019
2017-09-26,1.3458,1.3467,1.3517,1.341,-0.0007
2017-09-27,1.3387,1.3459,1.3464,1.3364,-0.0053
2017-09-28,1.3442,1.3386,1.3458,1.3343,0.0041
2017-09-29,1.3397,1.3441,1.3446,1.3349,-0.0033
2017-10-02,1.3277,1.3389,1.3404,1.3255,-0.009
2017-10-03,1.3236,1.3276,1.3289,1.3222,-0.0031
2017-10-04,1.3245,1.3236,1.3293,1.3235,0.0007
2017-10-05,1.3119,1.3247,1.3251,1.3107,-0.0095
2017-10-06,1.3066,1.3119,1.3127,1.3027,-0.004
2017-10-09,1.3142,1.3069,1.3185,1.3056,0.0058
2017-10-10,1.3204,1.3141,1.3227,1.3131,0.0047
2017-10-11,1.3223,1.3205,1.3236,1.3175,0.0014
2017-10-12,1.3262,1.3224,1.3292,1.3121,0.0029
2017-10-13,1.3287,1.3262,1.3338,1.3249,0.0019
2017-10-16,1.325,1.3309,1.3313,1.3225,-0.0028
2017-10-17,1.3191,1.325,1.3289,1.3154,-0.0045
2017-10-18,1.3205,1.3191,1.3212,1.314,0.0011
2017-10-19,1.3159,1.3206,1.323,1.3132,-0.0035
2017-10-20,1.319,1.3159,1.3202,1.3087,0.0024
2017-10-23,1.3197,1.3187,1.3228,1.3156,0.0005
2017-10-24,1.3136,1.3199,1.3229,1.3112,-0.0046
2017-10-25,1.3264,1.3132,1.3272,1.311,0.0097
